"fecha_deposito","numero_expediente","importe_aprobado","nombre_hospital","codigo_refes","id_provincia","provincia"
"2018-01-05","31230/2017",5373,"CENTRO MUNICIPAL DE ALTA COMPLEJIDAD DRA. MARIA DE LOS ANGELES MOLINS",5.00652e+13,6,"BUENOS AIRES"
"2018-01-05","31262/2017",698,"CENTRO MUNICIPAL DE ALTA COMPLEJIDAD DRA. MARIA DE LOS ANGELES MOLINS",5.00652e+13,6,"BUENOS AIRES"
"2018-01-05","31290/2017",396,"HOSPITAL MUNICIPAL DR. RAMON CARRILLO",1.00652e+13,6,"BUENOS AIRES"
"2018-01-05","31292/2017",198,"HOSPITAL MUNICIPAL DR. RAMON CARRILLO",1.00652e+13,6,"BUENOS AIRES"
"2018-01-05","31305/2017",198,"HOSPITAL MUNICIPAL DR. RAMON CARRILLO",1.00652e+13,6,"BUENOS AIRES"
"2018-01-05","34734/2016",19594,"HOSPITAL NACIONAL PROFESOR ALEJANDRO POSADAS",1.00657e+13,6,"BUENOS AIRES"
"2018-01-05","35843/2016",619,"HOSPITAL INTERZONAL ESPECIALIZADO DE AGUDOS Y CRONICOS SAN JUAN DE DIOS",1.00644e+13,6,"BUENOS AIRES"
"2018-01-05","36775/2016",6635,"HOSPITAL LOCAL GENERAL DE AGUDOS DR. ARTURO MELO",1.00643e+13,6,"BUENOS AIRES"
"2018-01-05","38405/2016",808,"HOSPITAL SUBZONAL SAN PEDRO",1.00677e+13,6,"BUENOS AIRES"
"2018-01-05","43736/2016",689,"HOSPITAL INTERZONAL GENERAL DE AGUDOS GENERAL SAN MARTIN",1.00644e+13,6,"BUENOS AIRES"
"2018-01-05","43792/2016",59943,"HOSPITAL INTERZONAL GENERAL DE AGUDOS GENERAL SAN MARTIN",1.00644e+13,6,"BUENOS AIRES"
"2018-01-05","45323/2016",264,"HOSPITAL MUNICIPAL DE AGUDOS DR. LEONIDAS LUCERO",1.00606e+13,6,"BUENOS AIRES"
"2018-01-05","45331/2016",252,"HOSPITAL MUNICIPAL DE AGUDOS DR. LEONIDAS LUCERO",1.00606e+13,6,"BUENOS AIRES"
"2018-01-05","45334/2016",208,"HOSPITAL MUNICIPAL DE AGUDOS DR. LEONIDAS LUCERO",1.00606e+13,6,"BUENOS AIRES"
"2018-01-05","45346/2016",34047,"HOSPITAL MUNICIPAL DE AGUDOS DR. LEONIDAS LUCERO",1.00606e+13,6,"BUENOS AIRES"
"2018-01-05","45354/2016",18672,"HOSPITAL MUNICIPAL DEL NIÑO DE SAN JUSTO",1.10643e+13,6,"BUENOS AIRES"
"2018-01-05","45730/2016",7208,"HOSPITAL MATERNO INFANTIL COMODORO HUGO C. MEISNER",1.20664e+13,6,"BUENOS AIRES"
"2018-01-05","45738/2016",1896,"HOSPITAL MATERNO INFANTIL COMODORO HUGO C. MEISNER",1.20664e+13,6,"BUENOS AIRES"
"2018-01-05","45747/2016",7208,"HOSPITAL MATERNO INFANTIL COMODORO HUGO C. MEISNER",1.20664e+13,6,"BUENOS AIRES"
"2018-01-05","45750/2016",29190.07,"HOSPITAL MATERNO INFANTIL COMODORO HUGO C. MEISNER",1.20664e+13,6,"BUENOS AIRES"
"2018-01-05","46486/2016",4985,"HOSPITAL ZONAL GENERAL DE AGUDOS ABRAHAM F. PIÑEYRO",1.00641e+13,6,"BUENOS AIRES"
"2018-01-05","47399/2016",26370.94,"HOSPITAL INTERZONAL GENERAL DE AGUDOS SAN JOSE",1.00662e+13,6,"BUENOS AIRES"
"2018-01-05","48438/2016",482,"HOSPITAL MARIANO Y LUCIANO DE LA VEGA",1.00656e+13,6,"BUENOS AIRES"
"2018-01-05","48509/2016",4037,"HOSPITAL MATERNO INFANTIL DR. CARLOS GIANNANTONIO",1.20676e+13,6,"BUENOS AIRES"
"2018-01-05","52221/2016",22706,"HOSPITAL ZONAL GENERAL DE AGUDOS DR. ALBERTO BALESTRINI",1.20643e+13,6,"BUENOS AIRES"
"2018-01-05","56559/2016",483578.69,"HOSPITAL INTERZONAL GENERAL DE AGUDOS DR. OSCAR ALENDE",1.00636e+13,6,"BUENOS AIRES"
"2018-01-05","58270/2016",1646,"CENTRO  DR.BERTRES .",5.00675e+13,6,"BUENOS AIRES"
"2018-01-05","58580/2016",1066,"HOSPITAL MARIANO Y LUCIANO DE LA VEGA",1.00656e+13,6,"BUENOS AIRES"
"2018-01-05","59460/2016",11704,"HOSPITAL SAN ANTONIO DE PADUA",1.00657e+13,6,"BUENOS AIRES"
"2018-01-05","60192/2016",1028,"CENTRO  CRISOL",5.00675e+13,6,"BUENOS AIRES"
"2018-01-05","60216/2016",1896,"CENTRO  BARRIO VILLA JARDIN",5.00675e+13,6,"BUENOS AIRES"
"2018-01-05","60311/2016",5288,"HOSPITAL MATERNO INFANTIL DRA. TERESA GERMANI",1.20643e+13,6,"BUENOS AIRES"
"2018-01-05","6184/2017",6027,"HOSPITAL INTERZONAL GENERAL DE AGUDOS DR. DIEGO PAROISSIEN",1.00643e+13,6,"BUENOS AIRES"
"2018-01-05","7080/2017",166965,"CENTRO MEDICO MUNICIPAL",5.00675e+13,6,"BUENOS AIRES"
"2018-01-22","21556/2017",1610,"HOSPITAL INTERZONAL GENERAL DE AGUDOS DR. FIORITO",1.00604e+13,6,"BUENOS AIRES"
"2018-01-22","21557/2017",198,"HOSPITAL INTERZONAL GENERAL DE AGUDOS DR. FIORITO",1.00604e+13,6,"BUENOS AIRES"
"2018-01-22","21558/2017",2189,"HOSPITAL INTERZONAL GENERAL DE AGUDOS DR. FIORITO",1.00604e+13,6,"BUENOS AIRES"
"2018-01-22","21559/2017",1143,"HOSPITAL INTERZONAL GENERAL DE AGUDOS DR. FIORITO",1.00604e+13,6,"BUENOS AIRES"
"2018-01-22","21751/2017",53446.3,"HOSPITAL MUNICIPAL DE SAN ISIDRO",1.00676e+13,6,"BUENOS AIRES"
"2018-01-22","21977/2017",10687.58,"HOSPITAL MUNICIPAL DE SAN ISIDRO",1.00676e+13,6,"BUENOS AIRES"
"2018-01-22","25304/2017",396,"HOSPITAL ZONAL GENERAL DE AGUDOS EURNEKIAN(EX MADRE TERESA DE CALCUTA)",1.00627e+13,6,"BUENOS AIRES"
"2018-01-22","26159/2017",1770,"HOSPITAL MATERNO INFANTIL DR. CARLOS GIANNANTONIO",1.20676e+13,6,"BUENOS AIRES"
"2018-01-22","26179/2017",340,"HOSPITAL MUNICIPAL DE SAN ISIDRO",1.00676e+13,6,"BUENOS AIRES"
"2018-01-22","26741/2017",4512,"HOSPITAL ZONAL PROFESOR DR. RAMON CARRILLO",1.00684e+13,6,"BUENOS AIRES"
"2018-01-22","27150/2017",5522,"HOSPITAL INTERZONAL GENERAL DE AGUDOS DR. DIEGO PAROISSIEN",1.00643e+13,6,"BUENOS AIRES"
"2018-01-22","27652/2017",948,"HOSPITAL ZONAL GENERAL DE AGUDOS ""SIMPLEMENTE EVITA""",1.00643e+13,6,"BUENOS AIRES"
"2018-01-22","27653/2017",406,"HOSPITAL ZONAL GENERAL DE AGUDOS ""SIMPLEMENTE EVITA""",1.00643e+13,6,"BUENOS AIRES"
"2018-01-22","27854/2017",2348,"CENTRO MUNICIPAL DE ALTA COMPLEJIDAD DRA. MARIA DE LOS ANGELES MOLINS",5.00652e+13,6,"BUENOS AIRES"
"2018-01-22","27957/2017",23249,"INSTITUTO NACIONAL DE REHABILITACION PSICOFISICA DEL SUR",1.40636e+13,6,"BUENOS AIRES"
"2018-01-22","27978/2015",43112,"HOSPITAL INTERZONAL GENERAL DE AGUDOS PRESIDENTE PERON",1.00604e+13,6,"BUENOS AIRES"
"2018-01-22","27981/2015",33180,"HOSPITAL INTERZONAL GENERAL DE AGUDOS PRESIDENTE PERON",1.00604e+13,6,"BUENOS AIRES"
"2018-01-22","28998/2017",13470,"HOSPITAL ZONAL GENERAL DE AGUDOS MAGDALENA V. DE MARTINEZ",1.00681e+13,6,"BUENOS AIRES"
"2018-01-22","29001/2017",62286.05,"HOSPITAL ZONAL GENERAL DE AGUDOS MAGDALENA V. DE MARTINEZ",1.00681e+13,6,"BUENOS AIRES"
"2018-01-22","29008/2017",6083,"HOSPITAL ZONAL GENERAL DE AGUDOS MAGDALENA V. DE MARTINEZ",1.00681e+13,6,"BUENOS AIRES"
"2018-01-22","29010/2017",3796,"HOSPITAL ZONAL GENERAL DE AGUDOS MAGDALENA V. DE MARTINEZ",1.00681e+13,6,"BUENOS AIRES"
"2018-01-22","29012/2017",1405,"HOSPITAL ZONAL GENERAL DE AGUDOS MAGDALENA V. DE MARTINEZ",1.00681e+13,6,"BUENOS AIRES"
"2018-01-22","29026/2017",12433,"HOSPITAL ZONAL GENERAL DE AGUDOS MAGDALENA V. DE MARTINEZ",1.00681e+13,6,"BUENOS AIRES"
"2018-01-22","29027/2017",12142,"HOSPITAL ZONAL GENERAL DE AGUDOS MAGDALENA V. DE MARTINEZ",1.00681e+13,6,"BUENOS AIRES"
"2018-01-22","29028/2017",5456,"HOSPITAL ZONAL GENERAL DE AGUDOS MAGDALENA V. DE MARTINEZ",1.00681e+13,6,"BUENOS AIRES"
"2018-01-22","29030/2017",9211,"HOSPITAL ZONAL GENERAL DE AGUDOS MAGDALENA V. DE MARTINEZ",1.00681e+13,6,"BUENOS AIRES"
"2018-01-22","29043/2017",2763,"HOSPITAL DR. ALEXANDER FLEMING",5.00637e+13,6,"BUENOS AIRES"
"2018-01-22","29427/2017",28512,"HOSPITAL INTERZONAL ESPECIALIZADO NEUROPSIQUIATRICO DR. ALEJANDRO KORN",1.30644e+13,6,"BUENOS AIRES"
"2018-01-22","29429/2017",31824,"HOSPITAL INTERZONAL ESPECIALIZADO NEUROPSIQUIATRICO DR. ALEJANDRO KORN",1.30644e+13,6,"BUENOS AIRES"
"2018-01-22","29441/2017",1890,"HOSPITAL INTERZONAL GENERAL DE AGUDOS PRESIDENTE PERON",1.00604e+13,6,"BUENOS AIRES"
"2018-01-22","29444/2017",120146,"HOSPITAL INTERZONAL GENERAL DE AGUDOS PRESIDENTE PERON",1.00604e+13,6,"BUENOS AIRES"
"2018-01-22","29449/2017",2634,"HOSPITAL INTERZONAL GENERAL DE AGUDOS PRESIDENTE PERON",1.00604e+13,6,"BUENOS AIRES"
"2018-01-22","30004/2017",406,"HOSPITAL MUNICIPAL DE COLON",1.00618e+13,6,"BUENOS AIRES"
"2018-01-22","30182/2017",6843,"HOSPITAL MUNICIPAL DE SAN ISIDRO",1.00676e+13,6,"BUENOS AIRES"
"2018-01-22","30202/2017",1862,"HOSPITAL MUNICIPAL DE SAN ISIDRO",1.00676e+13,6,"BUENOS AIRES"
"2018-01-22","30206/2017",2686,"HOSPITAL MUNICIPAL DE SAN ISIDRO",1.00676e+13,6,"BUENOS AIRES"
"2018-01-22","30208/2017",502,"HOSPITAL MUNICIPAL DE SAN ISIDRO",1.00676e+13,6,"BUENOS AIRES"
"2018-01-22","30209/2017",2340,"HOSPITAL MUNICIPAL DE SAN ISIDRO",1.00676e+13,6,"BUENOS AIRES"
"2018-01-22","30212/2017",611,"HOSPITAL MUNICIPAL DE SAN ISIDRO",1.00676e+13,6,"BUENOS AIRES"
"2018-01-22","30213/2017",1519,"HOSPITAL MUNICIPAL DE SAN ISIDRO",1.00676e+13,6,"BUENOS AIRES"
"2018-01-22","30667/2017",7000,"HOSPITAL MATERNO INFANTIL DR. CARLOS GIANNANTONIO",1.20676e+13,6,"BUENOS AIRES"
"2018-01-22","30669/2017",8532,"HOSPITAL MATERNO INFANTIL DR. CARLOS GIANNANTONIO",1.20676e+13,6,"BUENOS AIRES"
"2018-01-22","30671/2017",7000,"HOSPITAL MATERNO INFANTIL DR. CARLOS GIANNANTONIO",1.20676e+13,6,"BUENOS AIRES"
"2018-01-22","30673/2017",7000,"HOSPITAL MATERNO INFANTIL DR. CARLOS GIANNANTONIO",1.20676e+13,6,"BUENOS AIRES"
"2018-01-22","30676/2017",7000,"HOSPITAL MATERNO INFANTIL DR. CARLOS GIANNANTONIO",1.20676e+13,6,"BUENOS AIRES"
"2018-01-22","30679/2017",18376,"HOSPITAL MATERNO INFANTIL DR. CARLOS GIANNANTONIO",1.20676e+13,6,"BUENOS AIRES"
"2018-01-22","30681/2017",41128,"HOSPITAL MATERNO INFANTIL DR. CARLOS GIANNANTONIO",1.20676e+13,6,"BUENOS AIRES"
"2018-01-22","30683/2017",5739,"HOSPITAL MATERNO INFANTIL DR. CARLOS GIANNANTONIO",1.20676e+13,6,"BUENOS AIRES"
"2018-01-22","30684/2017",2844,"HOSPITAL MATERNO INFANTIL DR. CARLOS GIANNANTONIO",1.20676e+13,6,"BUENOS AIRES"
"2018-01-22","30685/2017",11740,"HOSPITAL MATERNO INFANTIL DR. CARLOS GIANNANTONIO",1.20676e+13,6,"BUENOS AIRES"
"2018-01-22","30686/2017",2895,"HOSPITAL MATERNO INFANTIL DR. CARLOS GIANNANTONIO",1.20676e+13,6,"BUENOS AIRES"
"2018-01-22","30688/2017",3586,"HOSPITAL MATERNO INFANTIL DR. CARLOS GIANNANTONIO",1.20676e+13,6,"BUENOS AIRES"
"2018-01-22","30690/2017",3792,"HOSPITAL MATERNO INFANTIL DR. CARLOS GIANNANTONIO",1.20676e+13,6,"BUENOS AIRES"
"2018-01-22","30692/2017",63832,"HOSPITAL MATERNO INFANTIL DR. CARLOS GIANNANTONIO",1.20676e+13,6,"BUENOS AIRES"
"2018-01-22","30694/2017",37343,"HOSPITAL MATERNO INFANTIL DR. CARLOS GIANNANTONIO",1.20676e+13,6,"BUENOS AIRES"
"2018-01-22","30695/2017",28000,"HOSPITAL MATERNO INFANTIL DR. CARLOS GIANNANTONIO",1.20676e+13,6,"BUENOS AIRES"
"2018-01-22","30696/2017",6636,"HOSPITAL MATERNO INFANTIL DR. CARLOS GIANNANTONIO",1.20676e+13,6,"BUENOS AIRES"
"2018-01-22","30829/2017",1848,"HTAL. MUNICIPAL VTE. LOPEZ DR. BERNARDO A. HOUSSAY",1.00686e+13,6,"BUENOS AIRES"
"2018-01-22","30836/2017",8884,"HTAL. MUNICIPAL VTE. LOPEZ DR. BERNARDO A. HOUSSAY",1.00686e+13,6,"BUENOS AIRES"
"2018-01-22","30843/2017",11497,"HTAL. MUNICIPAL VTE. LOPEZ DR. BERNARDO A. HOUSSAY",1.00686e+13,6,"BUENOS AIRES"
"2018-01-22","30849/2017",26981,"CENTRO DE SALUD DE GENERAL PACHECO",5.00681e+13,6,"BUENOS AIRES"
"2018-01-22","31286/2017",7428,"HOSPITAL MUNICIPAL DE TRAUMA Y EMERGENCIAS DR. FEDERICO ALBERTO ABETE",5.00652e+13,6,"BUENOS AIRES"
"2018-01-22","31306/2017",792,"HOSPITAL MUNICIPAL DR. RAMON CARRILLO",1.00652e+13,6,"BUENOS AIRES"
"2018-01-22","31308/2017",660,"HOSPITAL MUNICIPAL DR. RAMON CARRILLO",1.00652e+13,6,"BUENOS AIRES"
"2018-01-22","31309/2017",330,"HOSPITAL MUNICIPAL DR. RAMON CARRILLO",1.00652e+13,6,"BUENOS AIRES"
"2018-01-22","31310/2017",924,"HOSPITAL MUNICIPAL DR. RAMON CARRILLO",1.00652e+13,6,"BUENOS AIRES"
"2018-01-22","31311/2017",330,"HOSPITAL MUNICIPAL DR. RAMON CARRILLO",1.00652e+13,6,"BUENOS AIRES"
"2018-01-22","32134/2017",36449.62,"HOSPITAL JOSE MARIA GOMENDIO",1.00667e+13,6,"BUENOS AIRES"
"2018-01-22","32136/2017",4577,"HOSPITAL JOSE MARIA GOMENDIO",1.00667e+13,6,"BUENOS AIRES"
"2018-01-22","32140/2017",933,"HOSPITAL JOSE MARIA GOMENDIO",1.00667e+13,6,"BUENOS AIRES"
"2018-01-22","32146/2017",736,"HOSPITAL JOSE MARIA GOMENDIO",1.00667e+13,6,"BUENOS AIRES"
"2018-01-22","32147/2017",22725.09,"HOSPITAL JOSE MARIA GOMENDIO",1.00667e+13,6,"BUENOS AIRES"
"2018-01-22","32148/2017",3306,"HOSPITAL JOSE MARIA GOMENDIO",1.00667e+13,6,"BUENOS AIRES"
"2018-01-22","32163/2017",2099,"HOSPITAL JOSE MARIA GOMENDIO",1.00667e+13,6,"BUENOS AIRES"
"2018-01-22","32165/2017",340,"HOSPITAL JOSE MARIA GOMENDIO",1.00667e+13,6,"BUENOS AIRES"
"2018-01-22","32209/2017",18422.69,"HOSPITAL MUNICIPAL RAMON SANTAMARINA",1.00679e+13,6,"BUENOS AIRES"
"2018-01-22","32210/2017",22801.6,"HOSPITAL MUNICIPAL RAMON SANTAMARINA",1.00679e+13,6,"BUENOS AIRES"
"2018-01-22","32218/2017",22534.07,"HOSPITAL MUNICIPAL RAMON SANTAMARINA",1.00679e+13,6,"BUENOS AIRES"
"2018-01-22","33030/2017",2256264.54,"HOSPITAL INTERZONAL GENERAL DE AGUDOS GENERAL SAN MARTIN",1.00644e+13,6,"BUENOS AIRES"
"2018-01-22","38395/2016",5173,"HOSPITAL INTERZONAL ESPECIALIZADO MATERNO INFANTIL DR. VICTORIO TETAMANTI",1.20636e+13,6,"BUENOS AIRES"
"2018-01-22","41014/2016",4507,"HOSPITAL INTERZONAL ESPECIALIZADO MATERNO INFANTIL DR. VICTORIO TETAMANTI",1.20636e+13,6,"BUENOS AIRES"
"2018-01-22","41438/2016",13946.79,"INSTITUTO NACIONAL DE REHABILITACION PSICOFISICA DEL SUR",1.40636e+13,6,"BUENOS AIRES"
"2018-01-22","43684/2016",1793,"HOSPITAL INTERZONAL GENERAL DE AGUDOS GENERAL SAN MARTIN",1.00644e+13,6,"BUENOS AIRES"
"2018-01-22","43738/2016",1114,"HOSPITAL INTERZONAL GENERAL DE AGUDOS GENERAL SAN MARTIN",1.00644e+13,6,"BUENOS AIRES"
"2018-01-22","43790/2016",14477,"HOSPITAL INTERZONAL GENERAL DE AGUDOS GENERAL SAN MARTIN",1.00644e+13,6,"BUENOS AIRES"
"2018-01-22","43796/2016",8106,"HOSPITAL INTERZONAL GENERAL DE AGUDOS GENERAL SAN MARTIN",1.00644e+13,6,"BUENOS AIRES"
"2018-01-22","43821/2016",96023.11,"HOSPITAL INTERZONAL GENERAL DE AGUDOS GENERAL SAN MARTIN",1.00644e+13,6,"BUENOS AIRES"
"2018-01-22","43829/2016",6049.13,"HOSPITAL INTERZONAL GENERAL DE AGUDOS GENERAL SAN MARTIN",1.00644e+13,6,"BUENOS AIRES"
"2018-01-22","43830/2016",1462,"HOSPITAL INTERZONAL GENERAL DE AGUDOS GENERAL SAN MARTIN",1.00644e+13,6,"BUENOS AIRES"
"2018-01-22","53982/2016",3706,"HOSPITAL INTERZONAL ESPECIALIZADO MATERNO INFANTIL DR. VICTORIO TETAMANTI",1.20636e+13,6,"BUENOS AIRES"
"2018-01-22","55166/2016",50238,"HOSPITAL INTERZONAL GENERAL DE AGUDOS SAN JOSE",1.00662e+13,6,"BUENOS AIRES"
"2018-01-22","58355/2016",20049,"HOSPITAL INTERZONAL ESPECIALIZADO MATERNO INFANTIL DR. VICTORIO TETAMANTI",1.20636e+13,6,"BUENOS AIRES"
"2018-01-22","60185/2016",1030,"HOSPITAL INTERZONAL GENERAL DE AGUDOS GENERAL SAN MARTIN",1.00644e+13,6,"BUENOS AIRES"
"2018-01-22","6329/2017",27359.59,"HOSPITAL MUNICIPAL RAMON SANTAMARINA",1.00679e+13,6,"BUENOS AIRES"
"2018-01-22","65568/2016",3148,"HOSPITAL INTERZONAL GENERAL DE AGUDOS PROFESOR DR. LUIS GÜEMES",1.00657e+13,6,"BUENOS AIRES"
"2018-01-24","10767/2017",594,"HOSPITAL SUBZONAL DR. ENRIQUE ERILL",1.00625e+13,6,"BUENOS AIRES"
"2018-01-24","10908/2016",5875,"HOSPITAL ZONAL GENERAL DE AGUDOS SAN FELIPE",1.00676e+13,6,"BUENOS AIRES"
"2018-01-24","13274/2017",160,"CENTRO ODONTOLOGICO MUNICIPAL DR. NICOLAS V. GOÑI (ESCOBAR)",5.00625e+13,6,"BUENOS AIRES"
"2018-01-24","13290/2017",205,"CENTRO ODONTOLOGICO MUNICIPAL DR. NICOLAS V. GOÑI (ESCOBAR)",5.00625e+13,6,"BUENOS AIRES"
"2018-01-24","13301/2017",1891,"CENTRO ODONTOLOGICO MUNICIPAL DR. NICOLAS V. GOÑI (ESCOBAR)",5.00625e+13,6,"BUENOS AIRES"
"2018-01-24","16622/2017",700,"CENTRO MEDICO MUNICIPAL",5.00675e+13,6,"BUENOS AIRES"
"2018-01-24","16742/2017",80963.73,"HOSPITAL SUBZONAL MUNICIPAL DR. MIGUEL L. CAPREDONI",1.00611e+13,6,"BUENOS AIRES"
"2018-01-24","21681/2017",12583,"HOSPITAL INTERZONAL GENERAL DE AGUDOS DR. DIEGO PAROISSIEN",1.00643e+13,6,"BUENOS AIRES"
"2018-01-24","22638/2017",8207.52,"HOSPITAL NACIONAL PROFESOR ALEJANDRO POSADAS",1.00657e+13,6,"BUENOS AIRES"
"2018-01-24","22650/2017",698,"HOSPITAL NACIONAL PROFESOR ALEJANDRO POSADAS",1.00657e+13,6,"BUENOS AIRES"
"2018-01-24","26585/2016",647,"HOSPITAL NACIONAL PROFESOR ALEJANDRO POSADAS",1.00657e+13,6,"BUENOS AIRES"
"2018-01-24","26629/2016",10890.9,"HOSPITAL NACIONAL PROFESOR ALEJANDRO POSADAS",1.00657e+13,6,"BUENOS AIRES"
"2018-01-24","28205/2017",10319,"HOSPITAL MUNICIPAL DE OFTALMOLOGIA MALVINAS ARGENTINAS",1.40652e+13,6,"BUENOS AIRES"
"2018-01-24","28206/2017",17322,"HOSPITAL MUNICIPAL DE TRAUMA Y EMERGENCIAS DR. FEDERICO ALBERTO ABETE",5.00652e+13,6,"BUENOS AIRES"
"2018-01-24","28207/2017",1967,"HOSPITAL MUNICIPAL DE TRAUMA Y EMERGENCIAS DR. FEDERICO ALBERTO ABETE",5.00652e+13,6,"BUENOS AIRES"
"2018-01-24","28208/2017",990,"HOSPITAL MUNICIPAL DE TRAUMA Y EMERGENCIAS DR. FEDERICO ALBERTO ABETE",5.00652e+13,6,"BUENOS AIRES"
"2018-01-24","28209/2017",264,"HOSPITAL MUNICIPAL DE TRAUMA Y EMERGENCIAS DR. FEDERICO ALBERTO ABETE",5.00652e+13,6,"BUENOS AIRES"
"2018-01-24","28210/2017",528,"HOSPITAL MUNICIPAL DE TRAUMA Y EMERGENCIAS DR. FEDERICO ALBERTO ABETE",5.00652e+13,6,"BUENOS AIRES"
"2018-01-24","28215/2017",1668,"HOSPITAL MUNICIPAL DE TRAUMA Y EMERGENCIAS DR. FEDERICO ALBERTO ABETE",5.00652e+13,6,"BUENOS AIRES"
"2018-01-24","28216/2017",264,"HOSPITAL MUNICIPAL DE TRAUMA Y EMERGENCIAS DR. FEDERICO ALBERTO ABETE",5.00652e+13,6,"BUENOS AIRES"
